T_av;pH_av;O2_av;con_av;KjN_av;oPO4_av
11.114;7.829;8.843;740.714;1.583;0.175
10.44;7.68;7.5;609.6;0.774;0.205611111
12.858;7.3;8.05;434.75;2.125;0.185
13.086;7.8;7.729;515.577;5.6;0.552
11.75;8;10.617;896.167;1;0.14
13.557;7.471;8.914;340.714;1.167;0.046
11.75;8.031;9.708;716.333;1.083;0.099
12.008;8;9.383;800.333;1.167;0.228
13.55;7.817;6.767;527.667;4.333;0.442
14.957;7.429;6.557;229.005;5.092;0.732
14.486;7.829;9.214;621.864;1.333;0.2
11.983;7.567;8.583;472.333;2.633;0.238
11.577;7.877;9.5;591.462;1.167;0.103
12.443;7.443;9.429;462.571;1.167;0.044
11.425;7.4;8.083;470.333;2.875;0.202
16.214;7.471;6.129;422.429;2.958363636;0.029
9.317;8.225;11.01;812.833;0.75;0.127
12.957;7.929;8.9;851.286;1.167;0.062
15;7.833;8.467;673.167;1;0.297
10.475;6.9;8.367;255.833;1.364;0.084
10.05;6.917;9.117;138.667;1.167;0.121
11.773;7.691;7.436;593.091;1.545;0.219
12.167;7.95;8.792;897.417;1.083;0.203
13.433;8.092;10.392;801;1.273;0.233
14.133;7.617;8.883;669.667;1.333;0.054
13.542;7.127;5.183;458.667;2.867;0.263
12.867;7.517;7.633;447.333;1.333;0.14
13.186;7.843;9.457;617.571;1;0.103
15.233;7.767;8.383;539.333;1.35;0.089
12.05;8.008;10.008;659.833;1.633;0.09
11.175;7.9;10.163;687.375;1.167;0.144
13.7;8.05;9.283;755.5;2.017;0.228
13.633;7.917;8.067;667;1.5;0.177
11.333;7.725;5.125;718.963;4.117;0.625
12.9;7.7;7.46;635;2.8;0.248
15.1;8.083;9.4;716.333;1;0.215
13.786;7.9;9.357;563;1.517;0.265
