site;Poolriffle;Meander;Temperature;pH;Oxygen;Conductivity;Cl;BOD;COD;KjN;NH4;NO3;NO2;Nt;Pt;oPO4_av;SO4_av;SM_av
SITE_1;1;1;11.114;7.829;81.286;740.714;54.667;3.533;13.333;1.583;0.158;7.95;0.099;8.917;0.313;0.175;NA;17.95
SITE_2;0;0;10.44;7.68;65.4;609.6;51.4;20.2;1.4;0.774;3.86;0.131;4.78;0.308;0.206;66.2;NA;20.6
SITE_3;0;1;12.858;7.3;75.333;434.75;54.75;3.4;25.917;2.125;2.251;6.667;0.257;8.925;0.411;0.185;35.917;34.475
SITE_4;1;1;13.086;7.8;72.857;515.577;68.5;5.767;25;5.6;5;3.317;0.126;9.067;0.852;0.552;106.833;18.833
SITE_5;0;1;11.75;8;96.833;896.167;71.333;NA;14;1;0.303;4.717;0.074;5.167;0.237;0.14;91.5;15.75
SITE_6;0;0;13.557;7.471;84.571;340.714;43.333;2.075;29;1.167;0.252;0.812;0.03;1.617;0.202;0.046;33.667;16.783
SITE_7;0;0;11.75;8.031;88.417;716.333;48;NA;16.583;1.083;0.393;2.217;0.058;2.775;0.188;0.099;56.417;19.958
SITE_9;0;1;12.008;8;87;800.333;65.25;NA;21.917;1.167;0.468;5.175;0.163;6.083;0.427;0.228;89.417;98
SITE_11;0;0;13.55;7.817;63.167;527.667;44;7;45.5;4.333;3.233;1.413;0.099;5.75;0.667;0.442;61;18.533
SITE_12;1;1;14.957;7.429;65.857;229.005;200;3.75;50.5;5.092;5.365;11.733;0.272;16.1;1.158;0.732;77.833;15.5
SITE_13;0;0;14.486;7.829;90.429;621.864;88.833;2.433;11.333;1.333;0.668;5.6;0.178;6.533;0.288;0.2;NA;5.433
SITE_14;0;0;11.983;7.567;77.667;472.333;47.333;NA;37.167;2.633;2.367;4.4;0.187;7;0.663;0.238;50.833;119.667
SITE_15;1;0;11.577;7.877;85.308;591.462;47.75;NA;24.667;1.167;0.26;2.108;0.064;2.608;0.198;0.103;68.167;17.292
SITE_16;1;1;12.443;7.443;87.857;462.571;32.333;NA;37.167;1.167;0.21;1.098;0.019;1.73;0.132;0.044;107.167;15.15
SITE_17;1;1;11.425;7.4;73.25;470.333;51.333;2.767;20;2.875;2.589;7.633;0.252;10.617;0.358;0.202;49.917;17.725
SITE_18;0;1;16.214;7.471;61;422.429;43.167;2.7;35.833;NA;2.417;2.132;0.113;5.45;0.428;0.029;NA;26.017
SITE_19;1;1;9.317;8.225;94.9;812.833;76.167;1.75;7.5;0.75;0.103;4.717;0.06;5.234138889;0.263;0.127;NA;12.4
SITE_20;0;1;12.957;7.929;85.571;851.286;51;2.05;15.833;1.167;0.17;4.117;0.064;4.583;0.193;0.062;NA;31.667
SITE_21;1;0;15;7.833;85.333;673.167;62.833;NA;19.5;1;0.635;4.233;0.161;5.067;0.445;0.297;61;26.95
SITE_22;0;0;10.475;6.9;73.833;255.833;32.182;NA;24.727;1.364;0.527;1.348;0.062;2.164;0.272;0.084;34.455;27.045
SITE_23;0;0;10.05;6.917;80;138.667;12.833;NA;37.167;1.167;0.29;0.71;0.01;1.372;0.272;0.121;14.833;36.167
SITE_24;0;1;11.773;7.691;66.091;593.091;52.545;NA;34.727;1.545;0.806;3.745;0.168;4.891;0.422;0.219;69.182;23.445
SITE_26;0;0;12.167;7.95;80.333;897.417;67.75;NA;16.417;1.083;0.409;4.467;0.161;5.242;0.287;0.203;92.333;16.475
SITE_28;0;1;13.433;8.092;99.667;801;73.091;NA;20.909;1.273;0.354;3.855;0.127;4.636;0.327;0.233;87.091;18.064
SITE_29;1;1;14.133;7.617;87.667;669.667;38.167;NA;14;1.333;0.227;6.733;0.069;7.55;0.192;0.054;72.833;11.367
SITE_30;0;0;13.542;7.127;48.833;458.667;83.583;3.2;42.333;2.867;2.261;0.427;0.075;3.317;0.853;0.263;19.5;49.583
SITE_31;0;0;12.867;7.517;70.333;447.333;48;3.083;29.333;1.333;0.68;2.4;0.096;3.283;0.43;0.14;53.5;39.333
SITE_32;1;1;13.186;7.843;91.857;617.571;46.833;2.317;19.333;1;0.362;4.433;0.061;4.767;0.232;0.103;NA;27.25
SITE_33;0;0;15.233;7.767;84;539.333;31.333;2.533;13.667;1.35;0.325;2.917;0.045;3.683;0.153;0.089;NA;14.317
SITE_34;1;0;12.05;8.008;92.583;659.833;42.583;NA;14.75;1.633;0.336;6.85;0.113;8.05;0.243;0.09;71.083;17.808
SITE_35;1;1;11.175;7.9;91.375;687.375;53.667;NA;26;1.167;0.395;3.7;0.132;4.317;0.345;0.144;67.167;42.667
SITE_36;1;0;13.7;8.05;88.833;755.5;52;5.567;26.167;2.017;1.26;3.9;0.166;5.567;0.46;0.228;69.833;40.333
SITE_38;0;0;13.633;7.917;77.5;667;62;2.867;20.333;1.5;0.695;5.55;0.187;7.033;0.325;0.177;63.333;64.667
SITE_39;0;0;11.333;7.725;43.75;718.963;100.833;8.7;35.75;4.117;2.542;1.008;0.046;5.017;0.943;0.625;70.25;18.025
SITE_40;0;0;12.9;7.7;71.4;635;52.667;NA;16.4;2.8;2.208;0.755;0.06;3.243;0.274;0.248;60.833;4.7
SITE_41;1;1;15.1;8.083;94;716.333;80.833;NA;15.167;1;0.165;2.308;0.045;2.55;0.285;0.215;70.667;7.117
SITE_42;0;0;13.786;7.9;89.571;563;85.833;2.667;18.167;1.517;0.88;2.2;0.167;3.45;0.342;0.265;NA;9.367
