site;Gyrodactylus;Trichodina;Glugea;Contracaecum;Cysts;Proteocephalus;Acanthocephala;Camallanus;Anguilicola
1;0.85;66.9;0.2;0.05;0.05;0;0;0;0
2;0.4;10.45;0;0.05;0;0;0.25;0;0.3
3;0.35;12.05;0;0.15;0;0;0;0;0.1
4;0.05;49.25;0;0;0;0;0;0;0
5;0.35;30.95;0;0.05;0.05;0;0;0;0
6;0.2;45.05;0;0.05;0.1;0;0;0;0.1
7;1.55;18;0;0;0;0;0;0;0
9;1.1;10.6;0;0.1;0.4;0;0;0;0.1
11;5.25;28.4;0;0;0.05;0;0;0;0
12;9.5;214.5;0;0;0;0;0;0;0
13;0.611111111;10.9;0.1;0.05;0.05;0;0;0;0.25
14;0.5625;34.05;0;0.05;0;0;0;0;1.7
15;0.4375;4.25;0;0;0;0;0;0;0
16;0.3;7.5;0;0.25;0.05;0;0.15;0;0.55
17;2;51.55;0;0;0;0;0;0;0
18;0.2;31.15;0;0;0;0.05;0;0;1.65
19;1.35;10.1;0;0;0;0;0;0;0
20;2.7;7.6;0;0;0;0;0;0;0
21;1.55;15.35;0.6;0;0;0;0.05;0;0.2
22;0.65;14.2;0;0;0;0;0;0;0.05
23;2.3125;0.85;0;0;0;0;0;0;0
24;0.083333333;66.75;0;0.166666667;0;0;0;0;0.083333333
26;0.9;61.75;0.05;0;0;0;0;0;0.1
28;0;52.25;0.1;0.05;0;0;0;0;0.05
29;0.444444444;6.222222222;0;0;0;0;0;0.2;0
30;0.625;56;0;0.125;0;0;0;0;1.125
31;0;43.875;0.375;0;0;0.125;0;0;0.125
32;1.2;28.3;0;0.25;0;0;0;0;0
33;0;2.19047619;0;0;0.047619048;0;0;0;0.047619048
34;1.2;21.85;0.1;0.05;0.05;0;0;0;0.15
35;1.111111111;163;0;0;0;0;0;0;0.111111111
36;1.888888889;165.9473684;0.1;0.095238095;0.047619048;0.095238095;0;0;0
38;0.529411765;81.2;0.4;0;0;0;0;0;1.55
39;1.45;30.2;0.2;0;0;0;0;0;0
40;0.25;103.8;0;0.25;0;0;0;0;0
41;1.571428571;6.761904762;0;1.095238095;0.142857143;0;0.047619048;0;0.238095238
42;2.6;41.35;0.05;0.05;0;0;0;0;0.1
